Category L1,Category L2,Category L3,Grade Precedence,Grade,Item Condition,Functional,Physical Condition,Packaging Condition,Accessories
Communication,Phones Fixed,Walkie-Talkie,,,,,,,
Entertainment,Audio Systems,Audio Subscriptions,,,,,,,
Entertainment,Home Theatre,Home Theatre Blue Ray,,,,,,,
Small Appliances,Water Purifiers,Water Purifiers Storage,,,,,,,
Small Appliances,Fans,ExWty- Fans,,,,,,,
Small Appliances,Cookware,ExWty- Cookware,,,,,,,
Small Appliances,Health & Personal Care,ExWty- Healthcare,,,,,,,
Small Appliances,Kitchen Appliances,ExWty- Kitchen Appliances,,,,,,,
Entertainment,Audio Systems,ExWty- DJ Speakers,,,,,,,
Small Appliances,Ovens & Cookers,ExWty- Ovens,,,,,,,
Small Appliances,Security,ExWty- Security,,,,,,,
Small Appliances,Tools,ExWty- Tools,,,,,,,
Small Appliances,Home Appliances,ExWty- Vacuums,,,,,,,
Entertainment,Personal Assistant Speaker,ExWty- Personal Assistant,,,,,,,
Communication,Phones Fixed,ExWty- Phones Fixed,,,,,,,
Entertainment,Home Theatre,ExWty- Home Theatre,,,,,,,
Entertainment,Projectors,ExWty- Projectors,,,,,,,
Entertainment,Speakers,ExWty- Speakers,,,,,,,
Computers Peripherals,Networking,ExWty- Router,,,,,,,
Entertainment,Audio Systems,ExWty- Audio Systems,,,,,,,
Gaming,Gaming Hardware,ExWty- Gaming Hardware,,,,,,,
Small Appliances,Power,ExWty- Stabilizer,,,,,,,
Computers Peripherals,Printers & Office Solutions,ExWty- Printers & Office Soln,,,,,,,
Small Appliances,Kitchen Appliances,Do not Use,,,,,,,
Small Appliances,Kitchen Appliances,Waste Treatment,,,,,,,
Entertainment,Portable BT Speakers/MP3 Players,Speakers - Bluetooth/Portable_H,,,,,,,
Entertainment,Home Theatre,Home Theatre Blue Ray-High End,,,,,,,
Small Appliances,Home Appliances,Robotic Vacuum Cleaners,,,,,,,
Small Appliances,Ovens & Cookers,OTG More Than 30L,,,,,,,
Small Appliances,Cookware,Cookware Accessories,,,,,,,
Small Appliances,Water Purifiers RO,Water Purifiers RO,,,,,,,
Small Appliances,Cookware,Built in_L,,,,,,,
Small Appliances,Health & Personal Care,Massagers & Electrotherapy Devices,,,,,,,
Entertainment,Projectors,Portable,,,,,,,
Entertainment,Kits/Toys,Remote Control Cars,,,,,,,
Small Appliances,Cookware,Built in_H,,,,,,,
Gaming,Gaming Hardware,Sony Play Station - 4 Hardware,,,,,,,
Gaming,Gaming Software,Sony Play Station - 4 Games,,,,,,,
Entertainment,Audio Systems,DJ MACHINE_H,,,,,,,
Imaging,Digital Cameras,Digicam Educational Kit,,,,,,,
Entertainment,Audio Systems,DJ MACHINE_L,,,,,,,
Small Appliances,Air Purifier,Room Air Purifier,,,,,,,
Small Appliances,Connected Homes & Housewares,Smart Lighting,,,,,,,
Small Appliances,Water Purifiers,ExWty-Water Purifiers,,,,,,,
Small Appliances,Home Appliances,ExWty - Home Appliances,,,,,,,
Small Appliances,Cooling & Heating Appliances,ExWty- Cooling & Heating Appliances,,,,,,,
Small Appliances,Air Purifier,Portable Air Purifier,,,,,,,
Small Appliances,Health & Personal Care,Weighing Scales,,,,,,,
Small Appliances,Air Purifier,Car Air Purifier,,,,,,,
Small Appliances,Connected Homes & Housewares,Smart Securities & Door Locks,,,,,,,
Small Appliances,Connected Homes & Housewares,Security Camera & Surveillance,,,,,,,
Small Appliances,Health & Personal Care,Skincare - Male,,,,,,,
Small Appliances,Connected Homes & Housewares,Home Automation Systems,,,,,,,
Small Appliances,Connected Homes & Housewares,Smart Appliance Controls,,,,,,,
Entertainment,Audio Systems,Personal Audio_L,,,,,,,
Small Appliances,Air Purifier,ExWty- Air Purifiers,,,,,,,
Gaming,Gaming Software,Sony Play Station - 4 Games consign,,,,,,,
Entertainment,Portable BT Speakers/MP3 Players,ExWty- Speakers - Bluetooth/Portable,,,,,,,
Small Appliances,Connected Homes & Housewares,Accessories,,,,,,,
Small Appliances,Connected Homes & Housewares,Security Camera & Surveillance_L,,,,,,,
Small Appliances,Connected Homes & Housewares,Home Alarms & Sensors,,,,,,,
Small Appliances,Consumables,Kitchen & Personal Accessories,,,,,,,
Entertainment,Personal Assistant Speaker,Personal Assistant Speaker Standee,,,,,,,
Small Appliances,Power,Power Board / Double adaptors,,,,,,,
Computers Peripherals,PC Accessories,UPS,,,,,,,
Small Appliances,Kitchen Appliances,Kitchen Sets & Accessories_L,,,,,,,
Small Appliances,Home Appliances,Accessories_L,,,,,,,
Computers Peripherals,Refurbished-PC,PC,,,,,,,
Small Appliances,Health & Personal Care,Smart Health Devices,,,,,,,
Small Appliances,Home Appliances,Led Light,,,,,,,
Small Appliances,Fans,Humidifiers & Dehumidifiers,,,,,,,
Computers Peripherals,Storage Media,SSD Drive,,,,,,,
Small Appliances,Power,Uninterruptable Power Supply,,,,,,,
Entertainment,Speakers,Speakers - Bluetooth/Portable,,,,,,,
