Vendor Name,Vendor Code,Location,Vendor Type,E-waste certified,Contracted
M/S.Avertech Info Solutions,avertec,,B2B,No,No
Mahamaya Security And Electron,maham,,B2B,No,No
Mauli The House Of Computers,mault,,B2B,No,No
Friend's Enterprises,friends,,B2B,No,No
Kaveri Home Appliances,kaveri,,B2B,No,No
Rs Enterprises,rsenterprises,,B2B,No,No
My Mobile,mymobile,,B2B,No,No
Saraswati Computers,saraswati,,B2B,No,No
Das Enterprise,dasenterprise,,B2B,No,No
M/S Anorak Enterprises Pvt Ltd,anorak,,B2B,No,No
Qube Systems,qube,,B2B,No,No
Nijamuddin,nijamuddin,,B2B,No,No
Limra Enterprises,limrae,,B2B,No,No
Mahendra Jain,prayascorp,,B2B,No,No
Gurukripa Garments,gurukripa,,B2B,No,No
Sri Narayana Enterprises,girish,,B2B,No,No
Shree Mahavir Plywood And Timber Mart,jaimart,,B2B,No,No
Arus Trendz Fashions,rajesh,,B2B,No,No
Tradelinkenterprisee,sanjayg,,B2B,No,No
Saloni,yogendra,,B2B,No,No
Khanija Recycling India Pvt.  Ltd. ,kuruvu,,B2B,No,No
